Part Number,Part Name,Description,Unit Price,Total Price
MP1,ESP32,Wi-Fi Microprocessor,$10,$10
B1,Urgenex Lipo Battery,Battery for the Controller,$27,$27
BC1,Buck Converter 4mm (2x),Buck Converter for 7.4-5v,$8,$0 (owned)
"J1, J2",Joystick Module (2x),KY-023 control joystick module,$7,$7
S1,AITRIP Pressure Sensor,Barometric Pressure Sensor Module,$10,$10
PCB1,PCB,Fabricated PCB,$5,$5
PINS,Header Pins (20x),Header Pins to mount joystick/sensor/ESP32,$9,$9
BT1,Battery Connector,Plug in for LiPo battery,$8,$8
BULB,Pipet bulb,4ml Air bulb for pressure sensor,$23,$23
TUBE,Tubes,"Tube to connect the sensor, pump and air bulb",$8,$8
CN1,Tube T-Connectors,"Connectors for the tube, air bulb, sensor and pump",$6,$6
SYRINGE,Syringe,10ml Syringe for inflating and deflating,$12,$12
AT1,Actuator ,Mini Linear Actuator to push air,$18,$18
MD1,Motor Driver,Stepper Motor Driver Module,$7,$7
SW1,Boat Rocker Switch,Power Switch,$5,$5
TOT,Total (excl. taxes & shipping),,,$155
