Part Number,Part Name,Description,Unit Price,Total Price,Link
MP1,ESP32,Wi-Fi Microprocessor,$10,$10,https://www.amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_7?crid=3215NDM97THDZ&dib=eyJ2IjoiMSJ9.XBINg-sjhfF_gUtnMiKGjhlE-f5AuPRamTr33nRxSXkGLv_o48kwC8Ijeis6JInJV0KyHBRH7xGJQ-1txsZL4_5QVucvaXvokYACu1kJYTispfjw86LMs4pUaEb3QBf2tCHnMbfhxKmN1GqPyMwCe0JXg3RkQWr3XzxjTqvRC2Vi1yxUnR4MgBHJZC4l4B3sckUL9U6HKhcOjM0hclVNu3VH8A-i1EauSL7KfuJcGiQ.nLKf6GH-ppYlGRm2A-K7bqKU-ETPi6PvqRFLruHjBsE&dib_tag=se&keywords=esp+32&qid=1749497283&sprefix=esp+%2Caps%2C96&sr=8-7
B1,Urgenex Lipo Battery,Battery for the Controller,$27,$0 (owned),https://www.amazon.com/URGENEX-Battery-1800mAh-Rechargeable-Campatibal/dp/B0924MM61Z/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.8aea4788-5372-43c5-bde7-3d239eb02a51%3Aamzn1.sym.8aea4788-5372-43c5-bde7-3d239eb02a51&crid=3Q08CKQ0G2YS0&cv_ct_cx=2s+lipo&keywords=2s+lipo&pd_rd_i=B0924MM61Z&pd_rd_r=2fee5f48-be65-4bef-8665-56cf135858b5&pd_rd_w=GqGDQ&pd_rd_wg=o6vhg&pf_rd_p=8aea4788-5372-43c5-bde7-3d239eb02a51&pf_rd_r=TBJT25WAE9YMH6TNV576&qid=1748989214&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=2s+lipo%2Caps%2C112&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
BC1,Buck Converter 4mm (2x),Buck Converter for 7.4-5v,$8,$0 (owned),https://www.amazon.com/Maxmoral-Converter-Adjustable-Step-Down-Regulator/dp/B07MKQXNWG/ref=sr_1_8?crid=2O8Z0895WHHXP&dib=eyJ2IjoiMSJ9.Mn8RJg1NDqimTO87a_6HSzNLUgHkiPZ-VHvhyk_sEEX959uBLCpsnr1INDbSWpDKHzBUeE-YTWH4jJPt8yN_66qJGG0LMLLCtm2hUaRa0Z7giRo_BbYZ43KzK8a0ZkmFgm1_7exLw-T5nEHN_xsRLts72GEUkHbbKW-mQhQgRSSwipKjFBaNXV0R6c9MMWTGuIFDt9opV19PQrMrfOmi0de15Fu1fMhiF38ZXDObWWI.BWYEDRp61inwdzt085fWsmer4meqyVfUpvTSosCXECM&dib_tag=se&keywords=buck+converter+7.4v+to+5v&qid=1749758952&sprefix=buck+converter+7.4%2Caps%2C125&sr=8-8
"J1, J2",Joystick Module (2x),KY-023 control joystick module,$7,$7,https://www.amazon.com/Joystick-Sensor-Module-Controller-KY-023/dp/B08681KFSD/ref=sr_1_10?crid=1E848OO0UB6MF&dib=eyJ2IjoiMSJ9.u3HQgtLAVkNqZIGo3SvKEOzNBWX6ZNVLoT7k8LtlP1Q1wWEuSJHxLwehIw5ZghGOcfnQZu-ZMAmQ6Ww2_s23_kGGJeGnioDcVzOLxCIhUU6hEszKwp47MAoqIpnpcNRvna8PNP4FtM_az32gEZr8BEeL3efxdL4rTTUOm-LsfbszLXsTmBQpAnX1o6A8nbMVpDqjCLfOLJnQhYQgVFZUG3s8oemjdMGNsQQ6oyxN_wGaYH6LsFNlF6sb7Fy593foeJsBjy0jArnYQSpAIZb2ivtgjSpejtKT9yPfnVTiunE.aJeKjLLlRqorDPqIx0IPUUd55Zp8rLxmXE_ZoitJKM0&dib_tag=se&keywords=ky-023+joystick+module&qid=1751343982&sprefix=KY-023%2Caps%2C170&sr=8-10
S1,AITRIP Pressure Sensor,Barometric Pressure Sensor Module,$10,$10,https://www.amazon.com/AITRIP-Pressure-Digital-Barometric-Controller/dp/B09KXXBCYX/ref=sr_1_25?crid=2F4C227OBQ4GW&dib=eyJ2IjoiMSJ9.lnZjpD17ErzoexTM0Rp3kvS-a1fmm88Atb01fUkDGpjkwZqh4m0avbRKHBgpYfM2fKpw786wox12IeQUj7OqbzUDSfiXG6V9qWfqd8GLHUQk7-LhZ7_IMBlVILmKpyN6jWZbYrI0taD8gkPjfP83EuzwGLLpwwKfeiKyj-VsQZQ.ifDxpmw5px-izazzGScEMPMb2NFmPabu5s5iPriFklw&dib_tag=se&keywords=amazon+0-50+pka+electronic+pressure+sensor&qid=1751254193&sprefix=amazon+0-50+pka+electronic+pressure+sensor%2Caps%2C122&sr=8-25&xpid=2-4gjHsH4OvZN
PCB1,PCB,Fabricated PCB,$5,$5,https://jlcpcb.com/
PINS,Header Pins (20x),Header Pins to mount joystick/sensor/ESP32,$9,$9,https://www.amazon.com/Female-Header-ESP-WROOM-32-ESP32-DevKitC-Breakout/dp/B0CFDYMRK2
BT1,Battery Connector,Plug in for LiPo battery,$8,$8,https://www.amazon.com/ZHOFONET-Connector-Adapter-Silicone-Battery/dp/B0DCFQPNFS/ref=sr_1_1_sspa?crid=3M1VK0ORPYIYJ&dib=eyJ2IjoiMSJ9.oGT8dUcPEt_-3myYRWftZ3DoP_hxXUXtj8rHjO44IODWJaF8r3qpxb3_LdaLFcHkSAlY6sRuTfXAtT4CJWVglcS8zBZgHf2INMpEWXcBu1VdJbOZB9d2uzsxLUbZVMqoylkjEW456rAB0vO9DUD9paL6Vtii-Hc4eGX3QDFHX630xEYBLuF5YEvH23S-KkzFMohth_k1CdhRRfUMT6oUCA_inkOBmX093ZZYt9TzGMmac0ODrnMp3IhxnIiXGf0n1mp5ki927JosQLKR-94rneH-L2sNrhOhUfYmVXyiR58.MXuIkj12e3vScXQKY50ODYn6wxcbGM-8giCcSQOPTRw&dib_tag=se&keywords=lipo%2Bbattery%2Bconnector&qid=1749872934&s=electronics&sprefix=lipo%2Bbattery%2Bconnector%2Celectronics%2C104&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
BULB,Pipet bulb,4ml Air bulb for pressure sensor,$23,$23,https://www.amazon.com/Globe-Scientific-136020-500-Transfer-Non-Sterile/dp/B00G6T7TK8/ref=sr_1_3?crid=1OX1WNO21TU2&dib=eyJ2IjoiMSJ9.VQjYC05dg5DC_pLTeTpk3nRVc1AJv0WuQAZfGVHR5ojMFYO8M-iVik3UpPapAX5hykV2r9kTcsB7EkNS6kJRJOpIai_rMU2DnO64Am4TgIOOyh80mG9Z3LE_zue-9b7y_5-h2zf4coYVIlZADSNSU5N17oh_WH6aQjY5ia8K6gwBlKrPHWN_eEHKP2xptftpXFjFiIGYaHWRdD8hz6TXQ0vFMa55WIUcZpS8yvWYJw0.L5-XkWrQWf6pR1pEFPsV-H9sdBxVtRiUjUzStfuRq_A&dib_tag=se&keywords=4ml+pipette+bulb&qid=1751256021&sprefix=4ml+pipet+bulb%2Caps%2C111&sr=8-3
TUBE,Tubes,"Tube to connect the sensor, pump and air bulb",$8,$8,https://www.amazon.com/uxcell-Silicone-Tubing-Rubber-Transfer/dp/B085N17TDB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1THAZDOWP300U&
