Part Number,Part Name,Description,Unit Price,Total Price,Link
MP1,ESP32,Wi-Fi Microprocessor,$5.99,$5.99,https://www.amazon.com/gp/product/B0DDPJQX3X/ref=ox_sc_act_image_11?smid=A1VTL661FOEJB1&th=1
"J1, J2",Joystick Module (2x),KY-023 control joystick module,$6.79,$6.79,https://www.amazon.com/Joystick-Sensor-Module-Controller-KY-023/dp/B08681KFSD/ref=sr_1_10?crid=1E848OO0UB6MF&dib=eyJ2IjoiMSJ9.u3HQgtLAVkNqZIGo3SvKEOzNBWX6ZNVLoT7k8LtlP1Q1wWEuSJHxLwehIw5ZghGOcfnQZu-ZMAmQ6Ww2_s23_kGGJeGnioDcVzOLxCIhUU6hEszKwp47MAoqIpnpcNRvna8PNP4FtM_az32gEZr8BEeL3efxdL4rTTUOm-LsfbszLXsTmBQpAnX1o6A8nbMVpDqjCLfOLJnQhYQgVFZUG3s8oemjdMGNsQQ6oyxN_wGaYH6LsFNlF6sb7Fy593foeJsBjy0jArnYQSpAIZb2ivtgjSpejtKT9yPfnVTiunE.aJeKjLLlRqorDPqIx0IPUUd55Zp8rLxmXE_ZoitJKM0&dib_tag=se&keywords=ky-023+joystick+module&qid=1751343982&sprefix=KY-023%2Caps%2C170&sr=8-10
S1,AITRIP Pressure Sensor,Barometric Pressure Sensor Module,$9.99,$9.99,https://www.amazon.com/AITRIP-Pressure-Digital-Barometric-Controller/dp/B09KXXBCYX/ref=sr_1_25?crid=2F4C227OBQ4GW&dib=eyJ2IjoiMSJ9.lnZjpD17ErzoexTM0Rp3kvS-a1fmm88Atb01fUkDGpjkwZqh4m0avbRKHBgpYfM2fKpw786wox12IeQUj7OqbzUDSfiXG6V9qWfqd8GLHUQk7-LhZ7_IMBlVILmKpyN6jWZbYrI0taD8gkPjfP83EuzwGLLpwwKfeiKyj-VsQZQ.ifDxpmw5px-izazzGScEMPMb2NFmPabu5s5iPriFklw&dib_tag=se&keywords=amazon+0-50+pka+electronic+pressure+sensor&qid=1751254193&sprefix=amazon+0-50+pka+electronic+pressure+sensor%2Caps%2C122&sr=8-25&xpid=2-4gjHsH4OvZN
PCB1,PCB,Fabricated PCB,$5.00,$5.00,https://pcbway.com/
BT1,Battery Connector,Plug in for LiPo battery,$3.77,$3.77,https://www.amazon.com/gp/product/B0DY5GRSQW/ref=ox_sc_act_title_7?smid=AH55IWDCGXER3&psc=1
BULB,Pipet bulb,4ml Air bulb for pressure sensor,$7.98,$7.98,https://www.amazon.com/gp/product/B01LZHMLQA/ref=ox_sc_act_title_6?smid=A29JIFH4ZXPNL8&psc=1
TUBE,Tubes,"Tube to connect the sensor, pump and air bulb",$7.49,$7.49,https://www.amazon.com/uxcell-Silicone-Tubing-Rubber-Transfer/dp/B085N17TDB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1THAZDOWP300U&
CN1,Tube T-Connectors,"Connectors for the tube, air bulb, sensor and pump",$11.99,$11.99,https://www.amazon.com/gp/product/B06XGCM2RX/ref=ox_sc_act_title_5?smid=A1THAZDOWP300U&psc=1
SYRINGE,Syringe,10ml Syringe for inflating and deflating,$5.99,$5.99,https://www.amazon.com/Plastic-Syringe-Measurement-Scientific-Measuring/dp/B09MYPTD1P/ref=sr_1_11?dib=eyJ2IjoiMSJ9.CXlr_lQl7jB4kovCQ71vapOUOu19Vwvc5krl4ciyjdW2W8-YyWxWK97IMeZ3DwJ094pfyzx1ZcPEg7xNv1havwFECx1EjcLo_D7APakHTMzw_fwz8a6XxqS2Rxx7c_mJdrnzv12cbBx8coTgFWcU3UEKtRMbz3QJhSPRurDyBbDHcao8P2EA4ZsdewGl2rIapxkUrY8EQ7PnCSMSUllC0t2cnlLcop7OYTZPnMa7Lqg.GwZizSZKkRTKvSuih0a1HZDke3GoTH54v8abYhIaKKE&dib_tag=se&keywords=10ml+syringe&qid=1754146939&refinements=p_36%3A-1000&rnid=2661611011&sr=8-11
AT1,Actuator ,Mini Linear Actuator to push air,$19.99,$19.99,https://www.amazon.com/Actuator-Electric-Actuators-Robotics-Automation/dp/B0D17H1HGV/ref=sr_1_11?crid=2D8IEOI5KRD1P&dib=eyJ2IjoiMSJ9.8iTWWDIeAPXoC8nvSBjcwo_nuJF1JKT8oE1vtMP-LigO1JEoP_wRZG6PvRmcitRd_iaRzQ7tpsqKZelP26UxduQ1g8p2EKhV9oTjZdDq2ZX6vN_AxtUk6nYKcYL7zN0FhTjKcqX9zKSgZVSIfiDsmbcydbhehNxJDNURVHEyQLBf_aId_7TXmyBYCyPemPdDeKB98i1k9Vz9woGk2q1G_xQ8GMGhqsLyltc57H5_tTo.EQ-cSv3l9KaSUrKxHWhRHtY38ZrUS8dUS6W-RMxPtg0&dib_tag=se&keywords=Micro%2BLinear%2BServo%2B%2F%2BLinear%2BActuator&qid=1751257050&sprefix=micro%2Blinear%2Bservo%2B%2F%2Blinear%2Bactuator%2Caps%2C199&sr=8-11&th=1
